country,cmdCode,ml_growth_prob
Australia,2620,0.6204086144765218
Australia,2621,0.3706299265225728
Australia,2803,0.4602724611759186
Australia,2804,0.4980832835038503
Australia,2805,0.6965052882830302
Australia,2806,0.4653230706850688
Australia,2808,0.4243414302666982
Australia,2809,0.4122220079104106
Australia,2810,0.5083248217900594
Australia,2811,0.4191714624563853
Australia,2812,0.8662246664365133
Australia,2813,0.7092851599057516
Australia,2814,0.3183135191599528
Australia,2815,0.5547706882158915
Australia,2816,0.41473673780759174
Australia,2817,0.4612766404946645
Australia,2818,0.2580760419368744
Australia,2819,0.84971022605896
Australia,2820,0.7737017869949341
Australia,2821,0.5595756570498148
Australia,2822,0.3773572047551473
Australia,2823,0.38805163900057477
Australia,2824,0.3773572047551473
Australia,2825,0.37669216593106586
Australia,2826,0.7460875908533732
Australia,2827,0.41245415806770325
Australia,2828,0.6027387976646423
Australia,2829,0.349099338054657
Australia,2830,0.36018752058347064
Australia,2831,0.6621739864349365
Australia,2832,0.6844023863474528
Australia,2833,0.495026429494222
Australia,2834,0.6356058319409689
Australia,2837,0.3567969302336375
Australia,2840,0.42432493964831036
Australia,2841,0.6007013916969299
Australia,2842,0.3773572047551473
Australia,2843,0.5871620376904806
Australia,2845,0.6389563083648682
Australia,2846,0.3675679961840312
Australia,2850,0.5491854548454285
Australia,2852,0.318750927845637
Australia,2853,0.2459538827339808
Australia,2901,0.36998116970062256
Australia,2902,0.3540268937746684
Australia,2903,0.6864848335584005
Australia,2904,0.34696083267529804
Australia,2905,0.4667653938134511
Australia,2906,0.4414677321910858
Australia,2907,0.5781118472417196
Australia,2908,0.34663312633832294
Australia,2909,0.41151828567186993
Australia,2910,0.49226022760073346
Australia,2912,0.6712572971979777
Australia,2914,0.46947969992955524
Australia,2915,0.4261254866917928
Australia,2916,0.6227334340413412
Australia,2917,0.5467028021812439
Australia,2918,0.5147439241409302
Australia,2919,0.3942955732345581
Australia,2921,0.4323674440383911
Australia,2922,0.6922077735265096
Australia,2923,0.4541113078594208
Australia,2924,0.6955191294352213
Australia,2925,0.7274441321690878
Australia,2926,0.2580760419368744
Australia,2927,0.2595430016517639
Australia,2928,0.7446430126825968
Australia,2929,0.5815430879592896
Australia,2930,0.6885240077972412
Australia,2931,0.36965346336364746
Australia,2932,0.26537224650382996
Australia,2933,0.4446595807870229
Australia,2934,0.41735000411669415
Australia,2935,0.5346158742904663
Australia,2937,0.3792378604412079
Australia,2938,0.37352851033210754
Australia,2939,0.6534801920255026
Australia,2940,0.6973667939503988
Australia,2941,0.6680597464243571
Australia,2942,0.6158685485521952
Australia,3001,0.5846405824025472
Australia,3003,0.3913293480873108
Australia,3005,0.4316534996032715
Australia,3006,0.3640746970971425
Australia,3102,0.49869227409362793
Australia,3103,0.3175504505634308
Australia,3104,0.4148673315842946
Australia,3105,0.3299173017342885
Australia,3201,0.3642532428105672
Australia,3202,0.6955499649047852
Australia,3203,0.4202747146288554
Australia,3204,0.5759007334709167
Australia,3205,0.2935473521550496
Australia,3206,0.22446557382742563
Australia,3207,0.5624832312266032
Australia,3208,0.348104586203893
Australia,3209,0.36162400245666504
Australia,3210,0.4438421030839284
Australia,3211,0.7168007493019104
Australia,3212,0.35483186443646747
Australia,3213,0.4430473248163859
Australia,3214,0.4057487944761912
Australia,3215,0.41587311029434204
Australia,3301,0.5511209964752197
Australia,3302,0.30816535154978436
Australia,3303,0.35461608568827313
Australia,3304,0.6621099710464478
Australia,3305,0.26466835538546246
Australia,3401,0.46247238914171857
Australia,3402,0.3540268937746684
Australia,3403,0.4353846609592438
Australia,3404,0.3838687042395274
Australia,3406,0.348104586203893
Australia,3407,0.26537224650382996
Australia,3502,0.46566423773765564
Australia,3503,0.39876052737236023
Australia,3504,0.6356058319409689
Australia,3505,0.4010914166768392
Australia,3506,0.33913618326187134
Australia,3507,0.5147439241409302
Australia,3601,0.4276647965113322
Australia,3602,0.4056861599286397
Australia,3603,0.3976130783557892
Australia,3604,0.4278734127680461
Australia,3605,0.517858237028122
Australia,3606,0.44406209389368695
Australia,3701,0.6038764516512553
Australia,3702,0.37764427065849304
Australia,3703,0.5695858001708984
Australia,3704,0.6844138503074646
Australia,3705,0.40154043833414715
Australia,3706,0.4194740255673726
Australia,3707,0.41151828567186993
Australia,3801,0.5329677859942118
Australia,3802,0.685532828172048
Australia,3803,0.5753039320309957
Australia,3804,0.547450323899587
Australia,3805,0.4215121964613597
Australia,3806,0.443084051211675
Australia,3807,0.3450426558653514
Australia,3808,0.38663257161776227
Australia,3809,0.5784221887588501
Australia,3810,0.3706299265225728
Australia,3811,0.3638161023457845
Australia,3812,0.44330493609110516
Australia,3813,0.3797703782717387
Australia,3814,0.3838687042395274
Australia,3815,0.3672402898470561
Australia,3816,0.40015198787053424
Australia,3817,0.8743208646774292
Australia,3820,0.4268861214319865
Australia,3822,0.2923206885655721
Australia,3823,0.34609299898147583
Australia,3825,0.5493989984194437
Australia,3826,0.7006259361902872
Australia,3827,0.4122220079104106
Australia,3901,0.3940473993619283
Australia,3903,0.6319554448127747
Australia,3904,0.41245415806770325
Australia,3905,0.538249651590983
Australia,3906,0.35708882411321
Australia,3907,0.3773572047551473
Australia,3908,0.5098281502723694
Australia,3909,0.33913618326187134
Australia,3910,0.4268861214319865
Australia,3911,0.39216674367586773
Australia,3912,0.6168614625930786
Australia,3913,0.48066256443659466
Australia,3914,0.5233657757441202
Australia,3915,0.35270575682322186
Australia,3918,0.4231756329536438
Australia,3919,0.4807846148808797
Australia,3920,0.3706299265225728
Australia,3921,0.35592923561731976
Australia,3922,0.3797703782717387
Australia,3923,0.35483186443646747
Australia,3924,0.36571844418843585
Australia,3925,0.35689566532770794
Australia,4002,0.45700839161872864
Australia,4003,0.6005118091901144
Australia,4004,0.5186985234419504
Australia,4005,0.42080847422281903
Australia,4006,0.6844023863474528
Australia,4007,0.3865625162919362
Australia,4008,0.4278734127680461
Australia,4009,0.3805279831091563
Australia,4010,0.5013836622238159
Australia,4013,0.3001396656036377
Australia,4014,0.33574654658635456
Australia,4015,0.41245415806770325
Australia,4017,0.38047410051027936
Australia,4101,0.3675679961840312
Australia,4102,0.3626404404640198
Australia,4104,0.43381455540657043
Australia,4105,0.5949175755182902
Australia,4106,0.3139945964018504
Australia,4107,0.41245415806770325
Australia,4112,0.780059814453125
Australia,4113,0.3458634614944458
Australia,4114,0.7546501557032267
Australia,4115,0.7030429840087891
Australia,4201,0.47525500257809955
Australia,4202,0.5089008708794912
Australia,4203,0.3938074807325999
Australia,4205,0.3797703782717387
Australia,4206,0.6922077735265096
Australia,4302,0.3183135191599528
Australia,4303,0.3596520721912384
Australia,4304,0.474561075369517
Australia,4401,0.23620924850304922
Australia,4402,0.7515466610590616
Australia,4403,0.7246857484181722
Australia,4404,0.7562094926834106
Australia,4405,0.5723637938499451
Australia,4406,0.52774711449941
Australia,4408,0.5533645153045654
Australia,4409,0.3773572047551473
Australia,4410,0.40278639396031696
